"filename", "language", "XML", "Batch", "Markdown", "Log", "Java Properties", "Java", "comment", "blank", "total"
"d:\Program Files\VSCodeProject\simple-raft\src\main\java\com\avan\simpleraft\rpc\service\HelloServiceImpl.java", "Java", 0, 0, 0, 0, 0, 10, 0, 5, 15
"d:\Program Files\VSCodeProject\simple-raft\src\main\java\com\avan\simpleraft\rpc\spring\SpringBeansManager.java", "Java", 0, 0, 0, 0, 0, 16, 0, 8, 24
"d:\Program Files\VSCodeProject\simple-raft\src\main\java\com\avan\simpleraft\rpc\testnetty\HelloServiceImpl.java", "Java", 0, 0, 0, 0, 0, 12, 0, 7, 19
"d:\Program Files\VSCodeProject\simple-raft\src\main\java\com\avan\simpleraft\rpc\testnetty\NettyClient.java", "Java", 0, 0, 0, 0, 0, 30, 1, 6, 37
"d:\Program Files\VSCodeProject\simple-raft\src\main\java\com\avan\simpleraft\rpc\testnetty\NettyClientHandler.java", "Java", 0, 0, 0, 0, 0, 23, 0, 5, 28
"d:\Program Files\VSCodeProject\simple-raft\src\main\java\com\avan\simpleraft\rpc\testnetty\NettyServer.java", "Java", 0, 0, 0, 0, 0, 37, 3, 10, 50
"d:\Program Files\VSCodeProject\simple-raft\src\main\java\com\avan\simpleraft\rpc\testnetty\NettyServerHandler.java", "Java", 0, 0, 0, 0, 0, 28, 0, 9, 37
"d:\Program Files\VSCodeProject\simple-raft\src\main\java\com\avan\simpleraft\service\HandleRequest.java", "Java", 0, 0, 0, 0, 0, 9, 0, 5, 14
"d:\Program Files\VSCodeProject\simple-raft\src\main\java\com\avan\simpleraft\service\HandleRequestImpl.java", "Java", 0, 0, 0, 0, 0, 26, 0, 9, 35
"d:\Program Files\VSCodeProject\simple-raft\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\Program Files\VSCodeProject\simple-raft\src\test\java\com\avan\simpleraft\SimpleRaftApplicationTests.java", "Java", 0, 0, 0, 0, 0, 93, 16, 16, 125
"Total", "-", 83, 118, 1, 4, 2, 2130, 233, 691, 3262
